LocationID,Location,AdminLocation1,AdminLocation1Latitude,AdminLocation1Longitude
0,Nangarhar -> Behsud,Nangarhar,34.1718313,70.6216794
1,Kandahar -> Kandahar,Kandahar,30.9960679,65.475736
2,Nangarhar -> Kuzkunar,Nangarhar,34.1718313,70.6216794
3,Kabul -> Kabul,Kabul,34.533333,69.166667
4,Nangarhar -> Jalalabad,Nangarhar,34.1718313,70.6216794
5,Nangarhar -> Rodat,Nangarhar,34.1718313,70.6216794
6,Nangarhar -> Kama,Nangarhar,34.1718313,70.6216794
7,Baghlan -> Khwajahejran,Baghlan,35.8042947,69.2877535
8,Balkh -> Nahr-e- Shahi,Balkh,36.8909158,67.1894488
9,Badakhshan -> Darwaz-e-Balla,Badakhshan,36.7347725,70.8119953
10,Badakhshan -> Darwaz,Badakhshan,36.7347725,70.8119953
11,Baghlan -> Khost Wa Fereng,Baghlan,35.8042947,69.2877535
12,Faryab -> Khwajasabzposh,Faryab,36.0795613,64.905955
13,Badakhshan -> Argo,Badakhshan,36.7347725,70.8119953
14,Kunduz -> Emamsaheb,Kunduz,36.8599307,68.7154975
15,Kunar -> Narang,Kunar,34.8465893,71.097317
16,Jawzjan -> Mardyan,Jawzjan,36.8969692,65.6658568
17,Badakhshan -> Khwahan,Badakhshan,36.7347725,70.8119953
18,Baghlan -> Nahrin,Baghlan,35.8042947,69.2877535
19,Sar-e-Pul -> Balkhab,Sar-e-Pul,35.6707473,66.0463534
20,Baghlan -> Dahana-e-Ghori,Baghlan,35.8042947,69.2877535
21,Samangan -> Ruy-e-Duab,Samangan,35.9807296,67.5708536
22,Takhar -> Rostaq,Takhar,36.6698013,69.4784541
23,Baghlan -> Dehsalah,Baghlan,35.8042947,69.2877535
24,Laghman -> Alingar,Laghman,34.6897687,70.1455805
25,Badakhshan -> Kofab,Badakhshan,36.7347725,70.8119953
26,Balkh -> Shortepa,Balkh,36.8909158,67.1894488
27,Kunar -> Asadabad,Kunar,34.8465893,71.097317
28,Balkh -> Zari,Balkh,36.8909158,67.1894488
29,Takhar -> Darqad,Takhar,36.6698013,69.4784541
30,Jawzjan -> Aqcha,Jawzjan,36.8969692,65.6658568
31,Balkh -> Charbulak,Balkh,36.8909158,67.1894488
